1061,0.69,,-0.08,0.55,,-0.01,0.628,,,0.509,,,0.616,,,0.538,,,0.561,,
1642,2.57,,,2.44,,,2.681,,,2.46,,,2.52,,,2.6,,,2.759,,
4022,0.2,0.43,-0.01,0.025,0.08,0.03,0.219,0.546,,0.121,0.47,,0.341,0.4,,0.13,0.452,,0.192,0.495,
4031,0.54,0.1,-0.14,0.39,-0.19,-0.08,0.628,0.716,,0.665,0.806,,0.843,0.756,,0.611,0.976,,0.632,0.73,
4036,0.86,,-0.19,0.69,,-0.16,1.16,,,0.893,,,0.684,,,0.833,,,1.206,,
4039,0.68,1.29,-0.04,0.395,0.7,0.0,0.639,1.26,,0.578,1.174,,0.589,1.371,,0.612,1.311,,0.669,1.187,
4045,0.44,,-0.03,0.105,,0.01,0.334,,,0.25,,,0.313,,,0.246,,,0.347,,
4046,-0.16,0.0,-0.02,-0.41,-0.52,-0.03,-0.346,-0.038,,-0.249,-0.122,,-0.341,-0.049,,-0.255,-0.086,,-0.353,-0.07,
4049,0.44,,-0.03,0.18,,-0.02,0.539,,,0.463,,,0.623,,,0.479,,,0.592,,
4052,1.58,2.03,-0.08,1.515,1.73,-0.04,1.584,1.869,,1.505,1.94,,1.631,1.792,,1.375,1.696,,1.568,1.835,
4053,1.62,2.01,-0.07,1.53,1.73,-0.03,1.595,1.98,,1.587,2.041,,1.529,2.225,,1.629,1.812,,1.588,1.952,
4061,1.57,,,1.6,,,1.678,,,1.743,,,1.809,,,1.935,,,1.731,,
4064,0.33,0.36,-0.09,0.365,0.29,-0.05,0.365,0.572,,0.295,0.618,,0.537,0.83,,0.339,0.663,,0.345,0.536,
4070,0.15,0.63,-0.11,0.155,-0.17,-0.03,0.141,0.701,,0.066,0.526,,0.153,0.532,,0.006,0.646,,0.109,0.768,
4072,-0.44,,-0.02,0.0,,-0.13,-0.22,,,-0.396,,,-0.227,,,-0.487,,,-0.209,,
4076,-0.15,0.56,-0.14,-0.15,-0.06,-0.03,-0.18,0.315,,-0.211,0.345,,-0.102,0.292,,-0.187,0.324,,-0.171,0.288,
4077,-0.26,-0.19,-0.12,-0.265,-0.65,-0.06
4078,-0.28,0.3,0.03,-0.205,-0.1,0.04,0.207,0.56,,0.073,0.692,,0.37,0.554,,0.213,0.657,,0.164,0.554,
4079,0.19,,0.23,0.125,,0.14,0.14,,,0.168,,,0.031,,,0.262,,,0.099,,
4081,0.04,-0.16,0.06,-0.065,-0.11,0.01,0.174,0.023,,0.089,-0.056,,-0.008,0.13,,0.078,-0.088,,0.148,-0.039,
4082,0.07,,-0.1,-0.135,,-0.02,-0.105,,,-0.132,,,-0.261,,,-0.188,,,-0.116,,
4084,-0.05,,-0.03,0.0,,-0.01,0.09,,,-0.045,,,0.049,,,-0.051,,,0.099,,
4086,-0.1,,0.05,0.005,,0.0,-0.195,,,-0.162,,,-0.364,,,-0.029,,,-0.09,,
4087,-0.44,,-0.02,-0.305,,-0.03,-0.406,,,-0.448,,,-0.421,,,-0.447,,,-0.428,,
4091,0.35,1.04,0.04,0.195,0.53,0.04,0.475,1.238,,0.424,1.158,,0.54,1.332,,0.448,1.27,,0.495,1.215,
4092,0.11,-0.09,-0.03,0.08,-0.21,-0.05,0.1,0.15,,0.199,0.257,,-0.023,0.379,,0.287,0.226,,0.117,0.129,
4094,-0.1,-0.3,-0.05,0.055,0.1,-0.09,0.119,0.021,,-0.034,0.123,,0.072,0.04,,0.105,0.083,,0.118,-0.025,
4097,-0.02,,,0.215,,,0.146,,,0.09,,,0.147,,,0.081,,,0.117,,
4098,-0.08,0.4,-0.18,-0.21,-0.31,-0.09,-0.119,0.195,,-0.041,0.564,,0.154,0.429,,-0.041,0.615,,-0.114,0.166,
4099,-0.3,,-0.03,-0.215,,-0.03,-0.257,,,-0.252,,,-0.412,,,-0.035,,,-0.249,,
4100,-0.17,,0.02,-0.15,,0.01,0.104,,,-0.311,,,0.036,,,0.195,,,0.048,,
4101,0.14,0.22,-0.1,0.035,0.39,-0.07,-0.004,0.538,,0.06,0.29,,0.289,0.924,,0.304,0.432,,0.056,0.545,
4109,-0.02,,-0.02,0.175,,0.02,0.287,,,0.33,,,0.221,,,0.371,,,0.286,,
4115,1.33,,0.0,1.21,,-0.06,1.675,,,1.459,,,1.393,,,1.714,,,1.638,,
4117,0.22,0.5,-0.04,0.275,-0.15,0.02,0.041,0.425,,0.064,0.526,,0.276,0.331,,-0.002,0.565,,0.014,0.414,
4121,-0.06,,0.05,-0.2,,0.06,-0.168,,,-0.179,,,-0.172,,,-0.176,,,-0.091,,
4123,1.68,,-0.07,1.63,,0.0,1.843,,,1.784,,,1.753,,,1.717,,,1.814,,
4132,-0.57,,-0.06,-0.66,,-0.07,-0.505,,,-0.382,,,-0.524,,,-0.357,,,-0.469,,
4140,0.14,-0.22,0.0,0.33,-0.33,-0.02,0.219,-0.449,,0.24,-0.272,,0.103,-0.527,,0.231,-0.29,,0.272,-0.432,
4141,0.16,,0.01,0.1,,-0.07,0.164,,,0.17,,,-0.006,,,0.248,,,0.089,,
4146,-0.12,-0.21,-0.02,-0.12,-0.01,-0.05,-0.3,-0.045,,-0.333,-0.043,,-0.31,-0.715,,-0.346,0.001,,-0.276,-0.065,
4152,2.12,,-0.04,2.135,,-0.08,2.08,,,2.018,,,1.825,,,1.942,,,2.037,,
4153,2.04,,0.04,1.835,,0.01,1.941,,,1.973,,,1.989,,,1.896,,,1.928,,
4156,-0.36,0.36,-0.08,-0.21,0.24,-0.04,-0.419,0.355,,-0.424,0.393,,-0.399,0.41,,-0.415,0.565,,-0.412,0.39,
4160,-0.09,,0.01,0.05,,-0.01,-0.187,,,-0.107,,,-0.069,,,-0.073,,,-0.17,,
4162,0.22,-0.17,0.06,0.1,-0.79,0.01,0.396,-0.16,,0.247,-0.254,,0.382,-0.277,,0.475,0.12,,0.418,-0.153,
4165,0.03,,-0.04,0.075,,-0.02,0.099,,,0.122,,,0.215,,,0.086,,,0.094,,
4177,-0.16,,-0.07,-0.19,,-0.05,-0.108,,,-0.065,,,0.017,,,-0.099,,,-0.062,,
4184,0.25,-0.47,-0.02,-0.155,-0.48,0.04,0.129,-0.315,,-0.067,-0.145,,-0.015,-0.372,,0.075,-0.273,,0.209,-0.315,
4198,-0.04,-0.81,0.02,0.055,0.01,-0.06,-0.167,-0.749,,-0.112,-0.73,,-0.112,-0.716,,-0.099,-0.715,,-0.118,-0.739,
4205,-0.11,-0.41,0.05,-0.045,-0.34,-0.01,-0.134,0.006,,-0.111,-0.007,,-0.179,0.307,,-0.164,-0.067,,-0.173,0.052,
4206,0.11,,-0.12,-0.09,,-0.02,-0.017,,,-0.037,,,0.059,,,-0.076,,,0.007,,
4215,1.86,2.16,-0.04,1.74,1.73,0.0,1.797,2.061,,1.811,1.993,,1.83,2.013,,1.812,2.011,,1.819,2.017,
4224,0.42,,0.08,0.14,,0.05,0.138,,,0.214,,,0.081,,,0.331,,,0.193,,
4242,1.58,,-0.08,1.585,,0.0,1.611,,,1.636,,,1.573,,,1.558,,,1.618,,
4249,-0.22,-0.03,0.03,-0.115,-0.28,-0.01,-0.277,0.07,,-0.218,-0.002,,-0.168,-0.064,,-0.03,0.027,,-0.29,0.033,
4251,0.0,,-0.01,-0.06,,0.0,0.043,,,0.066,,,-0.084,,,0.053,,,0.036,,
4280,-0.16,,0.05,-0.09,,0.06,-0.105,,,-0.172,,,-0.063,,,-0.209,,,-0.086,,
4296,0.06,0.58,0.02,-0.01,-0.1,0.02,-0.13,0.537,,-0.041,0.46,,-0.068,0.591,,-0.12,0.476,,-0.133,0.539,
4297,-0.18,-0.27,0.03,-0.09,0.1,0.01,-0.01,0.147,,-0.055,-0.005,,0.054,0.36,,-0.035,-0.022,,-0.058,0.118,
4299,-0.91,,-0.02,-1.0,,0.07,-0.866,,,-0.972,,,-1.198,,,-0.82,,,-0.975,,
4301,0.35,,0.0,-0.015,,-0.03,0.477,,,0.436,,,0.506,,,0.541,,,0.495,,
4312,-0.46,,0.04,-0.2,,0.03,-0.396,,,-0.488,,,-0.338,,,-0.419,,,-0.457,,
4317,-0.21,-1.78,0.03,0.05,-1.09,-0.03,-0.066,-1.589,,-0.188,-1.759,,0.064,-2.048,,-0.017,-1.792,,-0.02,-1.49,
4326,0.35,-0.36,0.07,0.345,-0.14,-0.03,0.4,-0.29,,0.464,-0.373,,0.372,-0.13,,0.539,-0.052,,0.476,-0.3,
4327,0.2,0.51,-0.05,0.28,0.06,-0.03,0.407,0.967,,0.318,0.876,,0.444,1.112,,0.41,1.004,,0.397,1.004,
